Product name,Reference,Category,SKU,Price CZK,Price EUR,Imp. Cost EUR,Imp. Cost CZK,Weight (g),Imported (pcs),Stock (pcs),Total orders
Cây đẩy da,2410 Cây đẩy da,Tools & Accessories,A0000805,50,2,Loading...,18.23,100,200,-2,0
Aceton 5L,2505 Aceton 5L,Hoá chất,A0000996,430,20,9.39,233.92,100,96,-1,0
Cồn IPA70 5L,2505 Cồn 5L,Hoá chất,A0000995,380,18,7.08,176.37,100,96,-2,0
Aceton 1L,2411 Aceton 1L,Hoá chất,A0000811,200,8,Loading...,66.69,100,240,-1,0
Típ thường 50c,2411 Típ thường 50c,Tools & Accessories,A0000816,13,0.6,0.17,4.18,100,66000,-39,0
Gel vẽ trắng French 50ml,2509 Gel vẽ French White 50ml,Design,A0001091,250,10,3.78,91.83,100,60,-3,0
Sơn màu Milky White 15ml,2508 Sơn Milky white 15ml,Sơn màu,A0001069,100,4,1.57,38.30,100,120,-4,0
Flash Disco Cat Eye 12 màu,2412 Flash Disco Cat Eye 12 màu,Sơn màu,A0000821,1500,60,35.15,887.64,100,60,-1,0
Set Phấn nén làm ombre,2412 Bột phấn nén làm ombre 120 màu,Design,A0000822,300,12,4.10,Loading...,100,200,-1,0
1KG - Gel đắp MILKY WHITE,2511 Gel đắp - 1KG - Milky White,Gel đắp,A0001188,2100,85,38.51,931.47,100,5,-1,0
1KG - Gel đắp MILKY PINK,2511 Gel đắp - 1KG - Milky Pink,Gel đắp,A0001187,2100,85,38.51,931.47,100,5,-1,0
M - to,2412 M - to,Đầu bào,A0000830,180,8,2.62,66.13,100,200,-1,0
Bào gầm 2.0,2412 Bào gầm 2.0,Đầu bào,A0000831,180,8,Loading...,66.13,100,100,-2,0
Phá Shellac,2412 Phá Shellac,Đầu bào,A0000832,180,8,2.95,74.55,100,100,-3,0
Mịn thông M,2412 Mịn thông - M,Đầu bào,A0000833,180,8,3.71,93.78,100,100,-3,0
Top coat tím đặc 500ml,2412 Top coat tím đặc - 500ml,Top Coat,A0000834,2200,80,Loading...,589.44,100,50,-1,0
Liner gel vẽ Platinum,2412 Liner gel vẽ platinum,Design,A0000836,150,6,1.69,42.80,100,250,-3,0
Đèn bàn trắng 18W,2412 Đèn bàn trắng 18W,Đồ điện,A0000841,1500,60,24.96,629.52,100,20,-1,0
